Company,Title,Location,Source,Heat,Score,Posted,Link,Message
"T&T HR Consulting","Regional Business Development Manager (API) - Chinese speaking","Dubai, United Arab Emirates","LinkedIn","Hot","65","2026-06-07","https://ae.linkedin.com/jobs/view/regional-business-development-manager-api-chinese-speaking-at-t-t-hr-consulting-4425003489","Hi — saw that T&T HR Consulting is actively hiring a Regional Business Development Manager (API) - Chinese speaking in Dubai, United Arab Emirates. We place pre-vetted Sales & Marketing talent in 72 hours, at 10% of annual salary. Lebanese professionals — multilingual, commercially sharp, and up to 50% more cost-effective than local hires. Would a quick call make sense this week?"
"FAN AL AIKHTIAR MARKETING MANAGEMENT","Outdoor Sales Executive","Dubai, United Arab Emirates","LinkedIn","Hot","60","2026-06-07","","Hi — saw that FAN AL AIKHTIAR MARKETING MANAGEMENT is actively hiring a Outdoor Sales Executive in Dubai, United Arab Emirates. We place pre-vetted Sales & Marketing talent in 72 hours, at 10% of annual salary. Lebanese professionals — multilingual, commercially sharp, and up to 50% more cost-effective than local hires. Would a quick call make sense this week?"
"MCI Middle East","Business Development Executive","Dubai, Dubai, United Arab Emirates","LinkedIn","Hot","60","2026-06-07","https://ae.linkedin.com/jobs/view/business-development-executive-at-mci-middle-east-4364213180","Hi — saw that MCI Middle East is actively hiring a Business Development Executive in Dubai, Dubai, United Arab Emirates. We place pre-vetted Sales & Marketing talent in 72 hours, at 10% of annual salary. Lebanese professionals — multilingual, commercially sharp, and up to 50% more cost-effective than local hires. Would a quick call make sense this week?"
"Rentico Vacation Homes Rental","Business Development Executive","Dubai, Dubai, United Arab Emirates","LinkedIn","Hot","60","2026-06-07","https://ae.linkedin.com/jobs/view/business-development-executive-at-rentico-vacation-homes-rental-4421564705","Hi — saw that Rentico Vacation Homes Rental is actively hiring a Business Development Executive in Dubai, Dubai, United Arab Emirates. We place pre-vetted Sales & Marketing talent in 72 hours, at 10% of annual salary. Lebanese professionals — multilingual, commercially sharp, and up to 50% more cost-effective than local hires. Would a quick call make sense this week?"
"BlackFX","Business Development Executive","Dubai, United Arab Emirates","LinkedIn","Hot","60","2026-06-07","https://ae.linkedin.com/jobs/view/business-development-executive-at-blackfx-4425016624","Hi — saw that BlackFX is actively hiring a Business Development Executive in Dubai, United Arab Emirates. We place pre-vetted Sales & Marketing talent in 72 hours, at 10% of annual salary. Lebanese professionals — multilingual, commercially sharp, and up to 50% more cost-effective than local hires. Would a quick call make sense this week?"
"Etica Communications","Medical Sales Executive","Dubai, Dubai, United Arab Emirates","LinkedIn","Hot","60","2026-06-07","https://ae.linkedin.com/jobs/view/medical-sales-executive-at-etica-communications-4421577782","Hi — saw that Etica Communications is actively hiring a Medical Sales Executive in Dubai, Dubai, United Arab Emirates. We place pre-vetted Sales & Marketing talent in 72 hours, at 10% of annual salary. Lebanese professionals — multilingual, commercially sharp, and up to 50% more cost-effective than local hires. Would a quick call make sense this week?"
"MM Management Consultant","Sales Manager JIS136221","Dubai, United Arab Emirates","LinkedIn","Hot","60","2026-06-07","https://ae.linkedin.com/jobs/view/sales-manager-jis136221-at-mm-management-consultant-4425190967","Hi — saw that MM Management Consultant is actively hiring a Sales Manager JIS136221 in Dubai, United Arab Emirates. We place pre-vetted Sales & Marketing talent in 72 hours, at 10% of annual salary. Lebanese professionals — multilingual, commercially sharp, and up to 50% more cost-effective than local hires. Would a quick call make sense this week?"
"Mindware","Account Manager","Dubai, Dubai, United Arab Emirates","LinkedIn","Hot","60","2026-06-07","https://ae.linkedin.com/jobs/view/account-manager-at-mindware-4397065602","Hi — saw that Mindware is actively hiring a Account Manager in Dubai, Dubai, United Arab Emirates. We place pre-vetted Sales & Marketing talent in 72 hours, at 10% of annual salary. Lebanese professionals — multilingual, commercially sharp, and up to 50% more cost-effective than local hires. Would a quick call make sense this week?"
"PLEXUS GLOBAL EVENTS","Sponsorship Sales Manager","Dubai, United Arab Emirates","LinkedIn","Hot","60","2026-06-07","https://ae.linkedin.com/jobs/view/sponsorship-sales-manager-at-plexus-global-events-4421579810","Hi — saw that PLEXUS GLOBAL EVENTS is actively hiring a Sponsorship Sales Manager in Dubai, United Arab Emirates. We place pre-vetted Sales & Marketing talent in 72 hours, at 10% of annual salary. Lebanese professionals — multilingual, commercially sharp, and up to 50% more cost-effective than local hires. Would a quick call make sense this week?"
"RM Technology","Account Manager - Middle East & International Projects","Dubai, Dubai, United Arab Emirates","LinkedIn","Hot","60","2026-06-07","https://ae.linkedin.com/jobs/view/account-manager-middle-east-international-projects-at-rm-technology-4421577757","Hi — saw that RM Technology is actively hiring a Account Manager - Middle East & International Projects in Dubai, Dubai, United Arab Emirates. We place pre-vetted Sales & Marketing talent in 72 hours, at 10% of annual salary. Lebanese professionals — multilingual, commercially sharp, and up to 50% more cost-effective than local hires. Would a quick call make sense this week?"
"AYS Developers","Sales Manager","Dubai, Dubai, United Arab Emirates","LinkedIn","Hot","60","2026-06-07","https://ae.linkedin.com/jobs/view/sales-manager-at-ays-developers-4421588438","Hi — saw that AYS Developers is actively hiring a Sales Manager in Dubai, Dubai, United Arab Emirates. We place pre-vetted Sales & Marketing talent in 72 hours, at 10% of annual salary. Lebanese professionals — multilingual, commercially sharp, and up to 50% more cost-effective than local hires. Would a quick call make sense this week?"
"OFZA","Sales Manager, Institutional OTC & Virtual Assets","Dubai, United Arab Emirates","LinkedIn","Hot","60","2026-06-07","https://ae.linkedin.com/jobs/view/sales-manager-institutional-otc-virtual-assets-at-ofza-4421583758","Hi — saw that OFZA is actively hiring a Sales Manager, Institutional OTC & Virtual Assets in Dubai, United Arab Emirates. We place pre-vetted Sales & Marketing talent in 72 hours, at 10% of annual salary. Lebanese professionals — multilingual, commercially sharp, and up to 50% more cost-effective than local hires. Would a quick call make sense this week?"
"Caterpillar Inc.","Technology Commercial Manager","Dubai, Dubai, United Arab Emirates","LinkedIn","Hot","60","2026-06-07","https://ae.linkedin.com/jobs/view/technology-commercial-manager-at-caterpillar-inc-4422954641","Hi — saw that Caterpillar Inc. is actively hiring a Technology Commercial Manager in Dubai, Dubai, United Arab Emirates. We place pre-vetted Sales & Marketing talent in 72 hours, at 10% of annual salary. Lebanese professionals — multilingual, commercially sharp, and up to 50% more cost-effective than local hires. Would a quick call make sense this week?"
"Confedential","Account Relationship Manager – Broker Relations - Business Development (UAE Nationals Only)","Dubai, United Arab Emirates","LinkedIn","Hot","60","2026-06-07","","Hi — saw that Confedential is actively hiring a Account Relationship Manager – Broker Relations - Business Development (UAE Nationals Only) in Dubai, United Arab Emirates. We place pre-vetted Sales & Marketing talent in 72 hours, at 10% of annual salary. Lebanese professionals — multilingual, commercially sharp, and up to 50% more cost-effective than local hires. Would a quick call make sense this week?"
"Bayut.com","Account Growth Manager","Dubai, Dubai, United Arab Emirates","LinkedIn","Hot","60","2026-06-07","https://ae.linkedin.com/jobs/view/account-growth-manager-at-bayut-com-4421571876","Hi — saw that Bayut.com is actively hiring a Account Growth Manager in Dubai, Dubai, United Arab Emirates. We place pre-vetted Sales & Marketing talent in 72 hours, at 10% of annual salary. Lebanese professionals — multilingual, commercially sharp, and up to 50% more cost-effective than local hires. Would a quick call make sense this week?"
"RINA","Abu Dhabi Open Innovation Hub Business Development Manager","Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates","LinkedIn","Hot","60","2026-06-07","https://ae.linkedin.com/jobs/view/abu-dhabi-open-innovation-hub-business-development-manager-at-rina-4384281659","Hi — saw that RINA is actively hiring a Abu Dhabi Open Innovation Hub Business Development Manager in Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates. We place pre-vetted Sales & Marketing talent in 72 hours, at 10% of annual salary. Lebanese professionals — multilingual, commercially sharp, and up to 50% more cost-effective than local hires. Would a quick call make sense this week?"
"Origins MarketPlace Technology","Business Development Manager","Dubai, United Arab Emirates","LinkedIn","Warm","50","2026-06-06","https://ae.linkedin.com/jobs/view/business-development-manager-at-origins-marketplace-technology-4421547870","Hi — noticed Origins MarketPlace Technology is looking for a Business Development Manager. We specialise in Sales & Marketing placement across Dubai and Lebanon — pre-vetted shortlist in 72 hours, 10% placement fee. Worth a conversation?"